30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
30000,30000,5000
